property_type,state,lat,lon,area_m2,price_mxn
HOUSE,,18.1495073,-94.4422,200.0,158096.93
HOUSE,Nuevo León,25.7418083,-100.4057781,211.0,124501.99
HOUSE,Yucatán,20.968147,-89.629875,123.0,41095.45
HOUSE,Tamaulipas,22.2621259,-97.8238578,141.0,78502.86
HOUSE,Jalisco,20.767952,,148.0,96363.57
HOUSE,Morelos,18.795519,-99.231445,150.0,
APARTMENT,Distrito Federal,19.449392,-99.138544,70.0,42676.05
APARTMENT,Quintana Roo,21.15640821,-86.84881411,95.0,68508.67
HOUSE,Tamaulipas,22.3160889,-97.8884841,,76940.5
APARTMENT,Distrito Federal,19.486255,,65.0,46890.97
APARTMENT,Distrito Federal,19.36594,-99.163153,85.0,106848.18
HOUSE,Veracruz de Ignacio de la Llave,19.146434,-96.161783,91.0,42149.18
,Yucatán,21.035221,-89.635757,204.0,93781.94
HOUSE,Guerrero,16.86432868,-99.88790821,170.0,115937.75
HOUSE,Querétaro,20.726007,-100.442642,180.0,109324.45
HOUSE,Sinaloa,23.261934,-106.408936,124.0,67702.13
HOUSE,Quintana Roo,21.139086,-86.84964,66.0,36880.53
HOUSE,Veracruz de Ignacio de la Llave,25.535524,-103.379302,276.0,63223.78
HOUSE,Yucatán,21.0043658,-89.5614233,79.0,36889.28
APARTMENT,Distrito Federal,19.364613,-99.161892,70.0,93255.07
APARTMENT,,19.366505,,72.0,64281.19
HOUSE,Querétaro,20.6521079,-100.3491545,250.0,144922.18
HOUSE,Yucatán,21.03504976,-89.59907413,137.0,78995.76
APARTMENT,Distrito Federal,19.354947,-99.087529,65.0,37386.32
HOUSE,Yucatán,21.008295,-89.591019,142.0,91169.23
HOUSE,Querétaro,20.6476044,-100.35253,150.0,104319.23
HOUSE,Yucatán,21.030668,-89.599258,305.0,184182.92
HOUSE,Distrito Federal,19.371317,,300.0,123981.3
APARTMENT,Veracruz de Ignacio de la Llave,19.1356101,-96.1142685,105.0,50064.02
APARTMENT,Distrito Federal,19.377169,-99.187643,90.0,56514.99
APARTMENT,Distrito Federal,19.381591,-99.165397,124.0,270872.74
HOUSE,Yucatán,21.039522,-89.563911,230.0,92223.21
HOUSE,Jalisco,20.755833,-103.413251,180.0,144887.83
HOUSE,Estado de México,19.27223,-99.575691,300.0,184446.42
APARTMENT,Veracruz de Ignacio de la Llave,19.191416,-96.127518,70.0,62448.28
HOUSE,San Luis Potosí,22.121187,-100.951736,154.0,57968.87
HOUSE,Tabasco,17.987557,-92.929147,150.0,71126.75
HOUSE,Estado de México,19.4653884,-99.5940417,70.0,39524.23
HOUSE,Morelos,18.8493694,-98.9479805,250.0,84298.37
HOUSE,Yucatán,21.05294348,-89.66792107,141.0,62975.27
HOUSE,Morelos,18.942068,-99.242531,320.0,289844.37
HOUSE,Guerrero,16.808875,,104.0,102738.64
APARTMENT,Estado de México,19.531773,-99.245873,174.0,326656.19
HOUSE,Tamaulipas###,25.860595,-97.504808,212.0,71126.75
HOUSE,Guanajuato,21.1666103,-101.6315416,,131716.2
HOUSE,Morelos,18.882006,-99.148384,240.0,
APARTMENT,Puebla,,-98.271063,87.0,173986.78
HOUSE,Estado de México,,-99.230123,300.0,215222.62
HOUSE,Morelos,18.8736789,-99.1922665,257.0,188398.84
HOUSE,San Luis Potosí###,22.186096,-101.005652,240.0,144887.83
HOUSE,Yucatán,21.075163,-89.516731,189.0,86932.69
HOUSE,Puebla,18.984862,-98.222234,289.0,226551.88
APARTMENT,Distrito Federal,19.3650311,-99.1477363,83.0,139652.29
APARTMENT,,18.917393,-99.221062,127.0,???
HOUSE,Distrito Federal,19.399375,-99.149986,95.0,246994.23
HOUSE,Baja California,32.5622552,-115.3169575,75.0,42149.18
APARTMENT,Distrito Federal###,19.452689,-99.117987,60.0,-36269.27
HOUSE,Distrito Federal###,19.336104,-99.101761,70.0,50087.3
HOUSE,Zacatecas###,23.634501,-102.552788,138.0,-63223.78
HOUSE,Jalisco,20.567506,-103.48332,149.0,110588.92
HOUSE,Nayarit,20.722561,-105.270132,84.0,
APARTMENT,Distrito Federal,19.3987957,-99.1594498,110.0,274034.68
HOUSE,San Luis Potosí,22.1176283,-101.0151243,380.0,266066.74
HOUSE,Yucatán###,21.006756,-89.570984,90.0,39462.17
HOUSE,Veracruz de Ignacio de la Llave,25.510739,-103.357425,140.0,39514.86
HOUSE,Tamaulipas,22.2695545,-97.8750355,140.0,71301.71
HOUSE,Estado de México,19.3308425,-99.5817205,140.0,121207.64
HOUSE,Estado de México,19.2398293,-99.617673,332.0,242415.29
HOUSE,Estado de México,19.4689569,-99.2727792,372.0,144887.83
HOUSE,Morelos,18.917542,-98.963181,200.0,131747.44
,Tabasco,17.97280546,-92.95154875,2024-12-01,104343.97
HOUSE,Nuevo León,25.79255,-100.274638,159.0,74972.86
APARTMENT,Distrito Federal,19.3928136,-99.1738213,112.0,312957.71
HOUSE,Sinaloa,24.804811,-107.46476,95.0,47417.83
HOUSE,Aguascalientes,21.905983,-102.286817,157.0,
HOUSE,Morelos,18.900945,-99.232574,279.0,142253.5
HOUSE,Tamaulipas,22.2900902,-97.8437788,75.0,34254.33
APARTMENT,Distrito Federal,19.375374,-99.137657,80.0,34077.61
HOUSE,Nuevo León,25.660711,-100.289459,222.0,118544.58
APARTMENT,Puebla,19.02065826,-98.22384596,100.0,103606.19
HOUSE,Yucatán,20.96083848,-89.62156874,160.0,52159.61
APARTMENT,Distrito Federal,19.409369,-99.171906,83.0,263494.89
HOUSE,Nuevo León,25.7584835,-100.4052434,131.0,92023.21
HOUSE,Nuevo León,25.712547,-100.249496,210.0,83000.89
HOUSE,Yucatán,21.05119626,-89.53858227,168.0,80112.98
HOUSE,Puebla###,19.09276402,-98.22678055,100.0,-51644.99
HOUSE,Jalisco,20.792152,-103.475021,104.0,39514.86
HOUSE,Guanajuato###,21.121012,-101.600136,207.0,121207.64
HOUSE,San Luis Potosí,22.18307725,-101.0302325,92.0,34781.32
APARTMENT,Distrito Federal,19.404032,-99.179694,103.0,209902.95
HOUSE,Morelos,18.814863,-99.211439,97.0,68492.42
APARTMENT,Distrito Federal,19.368544,-99.163605,105.0,284507.01
HOUSE,Puebla,19.0550344,-98.2731403,330.0,189716.32
HOUSE,Yucatán,21.04307817,-89.55160305,190.0,89061.27
HOUSE,Estado de México,19.699144,-98.978363,180.0,68492.42
APARTMENT,Distrito Federal,19.341894,,96.0,156958.3
HOUSE,Querétaro,20.596285,-100.357695,,144887.83
APARTMENT,Puebla###,19.035632,-98.223132,92.0,109587.88
HOUSE,Puebla,19.0217424,-98.2604216,215.0,155461.98
HOUSE,Chiapas,19.987465,-102.284888,330.0,
APARTMENT,Morelos,18.957352,-99.260544,76.0,52698.97
HOUSE,Morelos,18.845494,-99.20547,136.0,71765.83
,Distrito Federal,19.366901,-99.297272,65.0,109387.67
HOUSE,San Luis Potosí,,-101.0286072,110.0,39830.98
HOUSE,Estado de México,19.615452,,70.0,47681.26
HOUSE,Estado de México###,19.590134,-99.280419,100.0,44783.51
HOUSE,Distrito Federal,19.473907,-99.177444,320.0,91042.24
HOUSE,San Luis Potosí,22.149093,-100.889863,180.0,45321.12
HOUSE,Estado de México,19.641889,-99.1774462,250.0,79048.46
HOUSE,Veracruz de Ignacio de la Llave,19.089373,-96.130805,168.0,94835.67
HOUSE,Querétaro,20.606224,-100.329168,165.0,97469.99
HOUSE,Yucatán,21.001256,,325.0,183296.27
APARTMENT,Nuevo León,25.7302897,-100.3965403,160.0,104497.22
HOUSE,Puebla,19.004742,-98.235992,180.0,63223.78
HOUSE,Morelos,18.920158,-99.180214,85.0,48734.99
HOUSE,,18.916586,-99.214371,272.0,262967.9
HOUSE,Puebla,19.063091,-98.296013,252.0,130873.22
APARTMENT,Distrito Federal,19.371321,-99.140985,84.0,93465.82
APARTMENT,Puebla,19.0378006,-98.3007086,120.0,166001.78
APARTMENT,Distrito Federal,19.362824,-99.266178,162.0,210745.93
